"","id","mean","median","raster_name","service","color","year","ee_r264_name","iso3","continent","region_wb","income_grp","name_long"
"30",30,1.57463681697845,1.51638549693022,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Belize","BLZ","North America","Latin America & Caribbean","4. Lower middle income","Belize"
"31",31,0.580212593078613,0.0234824116055638,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bermuda","BMU","North America","North America","2. High income: nonOECD","Bermuda"
"32",32,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bolivia","BOL","South America","Latin America & Caribbean","4. Lower middle income","Bolivia"
"33",33,1.87750029563904,1.83216599000052,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Brazil","BRA","South America","Latin America & Caribbean","3. Upper middle income","Brazil"
"34",34,1.11635410785675,1.16009471261803,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Barbados","BRB","North America","Latin America & Caribbean","2. High income: nonOECD","Barbados"
"35",35,2.35835266113281,2.44826180817245,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Brunei","BRN","Asia","East Asia & Pacific","2. High income: nonOECD","Brunei Darussalam"
"36",36,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bhutan","BTN","Asia","South Asia","4. Lower middle income","Bhutan"
"37",37,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bouvet Island","NOR","Europe","Europe & Central Asia","1. High income: OECD","Norway"
"38",38,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Botswana","BWA","Africa","Sub-Saharan Africa","3. Upper middle income","Botswana"
"39",39,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Central African Republic","CAF","Africa","Sub-Saharan Africa","5. Low income","Central African Republic"
"40",40,1.46321904659271,1.49151197077646,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Canada","CAN","North America","North America","1. High income: OECD","Canada"
"41",41,2.28571033477783,2.13547377918723,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cocos Islands","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia"
"42",42,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Switzerland","CHE","Europe","Europe & Central Asia","1. High income: OECD","Switzerland"
"43",43,2.09060192108154,2.14798527027011,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Chile","CHL","South America","Latin America & Caribbean","3. Upper middle income","Chile"
"44",44,0.93825089931488,0.637249349588283,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"China","CHN","Asia","East Asia & Pacific","3. Upper middle income","China"
"45",45,1.77687406539917,1.83745714842036,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cote d'lvoire","CIV","Africa","Sub-Saharan Africa","4. Lower middle income","C̫te d'Ivoire"
"46",46,2.33065605163574,2.42233445455372,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cameroon","CMR","Africa","Sub-Saharan Africa","4. Lower middle income","Cameroon"
"47",47,1.52645623683929,1.68490026257464,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Democratic Republic of the Congo","COD","Africa","Sub-Saharan Africa","5. Low income","Democratic Republic of the Congo"
"48",48,1.91336214542389,2.0772904458295,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Republic of the Congo","COG","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of the Congo"
"49",49,1.46297550201416,1.25637291699437,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cook Islands","COK","Oceania","East Asia & Pacific","3. Upper middle income","Cook Islands"
"50",50,2.13008713722229,2.21053721436197,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Colombia","COL","South America","Latin America & Caribbean","3. Upper middle income","Colombia"
"51",51,1.15379798412323,1.05542660252114,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Comoros","COM","Africa","Sub-Saharan Africa","5. Low income","Comoros"
"52",52,1.92311084270477,2.07280363170272,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cabo Verde","CPV","Africa","Sub-Saharan Africa","4. Lower middle income","Republic of Cabo Verde"
"53",53,1.78277206420898,1.73487663269059,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Costa Rica","CRI","North America","Latin America & Caribbean","3. Upper middle income","Costa Rica"
"54",54,1.39527106285095,1.29007244442793,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cuba","CUB","North America","Latin America & Caribbean","3. Upper middle income","Cuba"
"55",55,1.09493100643158,0.902354434252943,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Curacao","CUW","North America","Latin America & Caribbean","2. High income: nonOECD","Cura̤ao"
"56",56,1.27453100681305,1.37482175680751,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Christmas Island","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia"
"57",57,1.61201238632202,1.5481884276262,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cayman Islands","CYM","North America","Latin America & Caribbean","2. High income: nonOECD","Cayman Islands"
"58",58,1.28201544284821,1.39256268712152,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cyprus","CYP","Asia","Europe & Central Asia","2. High income: nonOECD","Cyprus"
"59",59,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Czechia","CZE","Europe","Europe & Central Asia","1. High income: OECD","Czech Republic"
"60",60,0.96269279718399,0.629024014787172,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Germany","DEU","Europe","Europe & Central Asia","1. High income: OECD","Germany"
"61",61,1.64283883571625,1.85644472513029,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Djibouti","DJI","Africa","Middle East & North Africa","4. Lower middle income","Djibouti"
"62",62,1.34469413757324,1.25248233299956,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Dominica","DMA","North America","Latin America & Caribbean","3. Upper middle income","Dominica"
"63",63,1.10408782958984,0.986406204184237,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Denmark","DNK","Europe","Europe & Central Asia","1. High income: OECD","Denmark"
"64",64,1.13039529323578,1.02908312418201,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Dominican Republic","DOM","North America","Latin America & Caribbean","3. Upper middle income","Dominican Republic"
"65",65,2.0446286201477,2.12510758861309,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Algeria","DZA","Africa","Middle East & North Africa","3. Upper middle income","Algeria"
"66",66,1.5845901966095,1.59423121249171,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Ecuador","ECU","South America","Latin America & Caribbean","3. Upper middle income","Ecuador"
"67",67,1.13836431503296,0.813633651976641,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Egypt","EGY","Africa","Middle East & North Africa","4. Lower middle income","Egypt"
"68",68,1.42925500869751,1.34996120008049,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Eritrea","ERI","Africa","Sub-Saharan Africa","5. Low income","Eritrea"
"69",69,0.0824740380048752,0.0825996889980426,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Western Sahara","MAR","Africa","Middle East & North Africa","4. Lower middle income","Morocco"
"70",70,1.49331939220428,1.54005560172742,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Spain","ESP","Europe","Europe & Central Asia","1. High income: OECD","Spain"
"71",71,1.7735048532486,1.8127696888124,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Estonia","EST","Europe","Europe & Central Asia","1. High income: OECD","Estonia"
"72",72,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Ethiopia","ETH","Africa","Sub-Saharan Africa","5. Low income","Ethiopia"
"73",73,1.85151195526123,1.81863325396523,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Finland","FIN","Europe","Europe & Central Asia","1. High income: OECD","Finland"
"74",74,1.25623404979706,1.02865991732054,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Fiji","FJI","Oceania","East Asia & Pacific","4. Lower middle income","Fiji"
"75",75,2.51701855659485,2.58635276765658,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Falkland Islands","FLK","South America","Latin America & Caribbean","1. High income: OECD","Falkland Islands"
"76",76,1.33012270927429,1.18037571933544,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"France","FRA","Europe","Europe & Central Asia","1. High income: OECD","France"
"77",77,0.736498236656189,0.406548182620373,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Faroe Islands","FRO","Europe","Europe & Central Asia","2. High income: nonOECD","Faeroe Islands"
"78",78,2.12403273582458,1.77751383596173,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Micronesia","FSM","Oceania","East Asia & Pacific","4. Lower middle income","Federated States of Micronesia"
"79",79,1.8467583656311,1.81791713209099,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Gabon","GAB","Africa","Sub-Saharan Africa","3. Upper middle income","Gabon"
"80",80,0.694135904312134,0.404371068717625,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"United Kingdom","GBR","Europe","Europe & Central Asia","1. High income: OECD","United Kingdom"
"81",81,2.21947455406189,2.22908979789423,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Georgia","GEO","Asia","Europe & Central Asia","4. Lower middle income","Georgia"
"82",82,2.48901057243347,3.07171899390368,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guernsey","GGY","Europe","Europe & Central Asia","2. High income: nonOECD","Guernsey"
"83",83,1.08679401874542,1.07896145261861,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Ghana","GHA","Africa","Sub-Saharan Africa","4. Lower middle income","Ghana"
"84",84,5.26092720031738,5.44006975491842,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Gibraltar","GIB","Europe","Europe & Central Asia","1. High income: OECD","Gibraltar"
"85",85,1.63363170623779,1.68593224448275,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guinea","GIN","Africa","Sub-Saharan Africa","5. Low income","Guinea"
"86",86,1.52427041530609,1.4553923347145,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guadeloupe","FRA","Europe","Europe & Central Asia","1. High income: OECD","France"
"87",87,1.87837135791779,1.81906229738754,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Gambia","GMB","Africa","Sub-Saharan Africa","5. Low income","The Gambia"
"88",88,1.54479801654816,1.59822013448002,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guinea-Bissau","GNB","Africa","Sub-Saharan Africa","5. Low income","Guinea-Bissau"
"89",89,1.98144125938416,2.00768399940268,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Equatorial Guinea","GNQ","Africa","Sub-Saharan Africa","2. High income: nonOECD","Equatorial Guinea"
"90",90,1.57995927333832,1.54900870087361,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Greece","GRC","Europe","Europe & Central Asia","1. High income: OECD","Greece"
"91",91,1.26710546016693,1.14333638633137,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Grenada","GRD","North America","Latin America & Caribbean","3. Upper middle income","Grenada"
"92",92,0.261423796415329,0.11980373899645,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Greenland","GRL","North America","Europe & Central Asia","2. High income: nonOECD","Greenland"
"93",93,1.911536693573,2.0318918854358,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guatemala","GTM","North America","Latin America & Caribbean","4. Lower middle income","Guatemala"
"94",94,2.16275095939636,2.14838008785962,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"French Guiana","FRA","Europe","Europe & Central Asia","1. High income: OECD","France"
"95",95,1.54202389717102,1.67658463622176,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guam","GUM","Oceania","East Asia & Pacific","2. High income: nonOECD","Guam"
"96",96,2.15583205223083,2.20899796981661,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Guyana","GUY","South America","Latin America & Caribbean","4. Lower middle income","Guyana"
"97",97,1.25273394584656,1.39494268772041,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Hong Kong","HKG","Asia","East Asia & Pacific","2. High income: nonOECD","Hong Kong"
"98",98,0.0946288034319878,0.10693808056967,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Heard Island and McDonald Island","HMD","Seven seas (open ocean)","Sub-Saharan Africa","5. Low income","Heard I. and McDonald Islands"
"99",99,1.84154319763184,1.91448656970054,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Honduras","HND","North America","Latin America & Caribbean","4. Lower middle income","Honduras"
"100",100,2.09395217895508,2.06642503502041,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Croatia","HRV","Europe","Europe & Central Asia","2. High income: nonOECD","Croatia"
"101",101,0.993463397026062,0.868787164723802,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Haiti","HTI","North America","Latin America & Caribbean","5. Low income","Haiti"
"102",102,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Hungary","HUN","Europe","Europe & Central Asia","1. High income: OECD","Hungary"
"103",103,1.62375545501709,1.49374502778263,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Indonesia","IDN","Asia","East Asia & Pacific","4. Lower middle income","Indonesia"
"104",104,2.11973237991333,2.20460805861275,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Isle of Man","IMN","Europe","Europe & Central Asia","2. High income: nonOECD","Isle of Man"
"105",105,1.5609278678894,1.42114310118903,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"India","IND","Asia","South Asia","4. Lower middle income","India"
"106",106,4.24870014190674,3.90099915940723,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"British Indian Ocean Territory","IOT","Seven seas (open ocean)","Sub-Saharan Africa","2. High income: nonOECD","British Indian Ocean Territory"
"107",107,0.496855914592743,0.302747567264108,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Ireland","IRL","Europe","Europe & Central Asia","1. High income: OECD","Ireland"
"108",108,1.13448810577393,0.757873400746897,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Iran","IRN","Asia","Middle East & North Africa","3. Upper middle income","Iran"
"109",109,0.497883439064026,0.490059325353939,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Iraq","IRQ","Asia","Middle East & North Africa","4. Lower middle income","Iraq"
"110",110,0.778940558433533,0.696202080062826,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Iceland","ISL","Europe","Europe & Central Asia","1. High income: OECD","Iceland"
"111",111,1.32005620002747,0.202617412625906,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Israel","ISR","Asia","Middle East & North Africa","1. High income: OECD","Israel"
"112",112,1.14523196220398,0.769703509798825,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Italy","ITA","Europe","Europe & Central Asia","1. High income: OECD","Italy"
"113",113,1.07377433776855,1.06779275548596,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Jamaica","JAM","North America","Latin America & Caribbean","3. Upper middle income","Jamaica"
"114",114,0.861775636672974,0.265603354587786,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Jersey","JEY","Europe","Europe & Central Asia","2. High income: nonOECD","Jersey"
"115",115,3.21145534515381,3.17316196306113,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Jordan","JOR","Asia","Middle East & North Africa","3. Upper middle income","Jordan"
"116",116,2.1097719669342,2.10910315851358,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Japan","JPN","Asia","East Asia & Pacific","1. High income: OECD","Japan"
"117",117,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Kazakhstan","KAZ","Asia","Europe & Central Asia","3. Upper middle income","Kazakhstan"
"118",118,1.02415454387665,0.955457840857359,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Kenya","KEN","Africa","Sub-Saharan Africa","5. Low income","Kenya"
"119",119,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Kyrgyzstan","KGZ","Asia","Europe & Central Asia","5. Low income","Kyrgyzstan"
"120",120,2.26686406135559,2.24387913535624,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Cambodia","KHM","Asia","East Asia & Pacific","5. Low income","Cambodia"
"121",121,4.94808912277222,5.29622290804204,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Kiribati","KIR","Oceania","East Asia & Pacific","4. Lower middle income","Kiribati"
"122",122,1.13332998752594,1.16043802697219,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Saint Kitts and Nevis","KNA","North America","Latin America & Caribbean","2. High income: nonOECD","Saint Kitts and Nevis"
"123",123,1.96779668331146,2.00544598571305,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"South Korea","KOR","Asia","East Asia & Pacific","1. High income: OECD","Republic of Korea"
"124",124,0.458839893341064,0.455258748950021,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Kuwait","KWT","Asia","Middle East & North Africa","2. High income: nonOECD","Kuwait"
"125",125,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Laos","LAO","Asia","East Asia & Pacific","4. Lower middle income","Lao PDR"
"126",126,1.3069806098938,1.2643526674996,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Lebanon","LBN","Asia","Middle East & North Africa","3. Upper middle income","Lebanon"
"127",127,1.75672388076782,1.90003138248308,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Liberia","LBR","Africa","Sub-Saharan Africa","5. Low income","Liberia"
"128",128,0.531916439533234,0.105929648071006,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Libya","LBY","Africa","Middle East & North Africa","3. Upper middle income","Libya"
"129",129,1.35637307167053,1.23457085406788,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Saint Lucia","LCA","North America","Latin America & Caribbean","3. Upper middle income","Saint Lucia"
"130",130,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Liechtenstein","LIE","Europe","Europe & Central Asia","2. High income: nonOECD","Liechtenstein"
"131",131,1.59241735935211,1.61116040973323,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Sri Lanka","LKA","Asia","South Asia","4. Lower middle income","Sri Lanka"
"132",132,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Lesotho","LSO","Africa","Sub-Saharan Africa","4. Lower middle income","Lesotho"
"133",133,2.07248163223267,1.89462075685739,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Lithuania","LTU","Europe","Europe & Central Asia","3. Upper middle income","Lithuania"
"134",134,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Luxembourg","LUX","Europe","Europe & Central Asia","1. High income: OECD","Luxembourg"
