,WWF_biome,mean,raster_name,service,color
71,Montane Grasslands & Shrublands,3.322715521,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
72,Lakes,-0.336623311,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
73,Flooded Grasslands & Savannas,0.069919467,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
74,"Mediterranean Forests, Woodlands & Scrub",1.228797674,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
75,Tropical & Subtropical Dry Broadleaf Forests,-1.043198705,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
76,Temperate Broadleaf & Mixed Forests,-1.164326549,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
77,Tundra,-2.254637957,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
78,"Tropical & Subtropical Grasslands, Savannas & Shrublands",-0.241720557,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
79,Mangroves,0.195235983,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
80,Deserts & Xeric Shrublands,2.017282486,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
