,BIOME,mean,raster_name,service,color,year,WWF_biome
17,8,0.884749472,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,"Temperate Grasslands, Savannas & Shrublands"
18,1,1.533050656,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Tropical & Subtropical Moist Broadleaf Forests
19,5,1.821864128,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Temperate Conifer Forests
20,3,1.376349807,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Tropical & Subtropical Coniferous Forests
21,99,0.320921689,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Rock & Ice
22,6,1.693948507,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Boreal Forests/Taiga
23,10,1.957077861,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Montane Grasslands & Shrublands
24,98,NA,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Lakes
25,9,1.21268189,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Flooded Grasslands & Savannas
26,12,1.488348603,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,"Mediterranean Forests, Woodlands & Scrub"
27,2,1.377426386,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Tropical & Subtropical Dry Broadleaf Forests
28,4,1.754324317,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Temperate Broadleaf & Mixed Forests
29,11,0.746045113,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Tundra
30,7,1.199081659,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
31,14,1.845082641,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Mangroves
32,13,1.132298946,coastal_risk_esa2020_value_md5_f9f644,Coastal Protection,#9e9ac8,2020,Deserts & Xeric Shrublands
33,8,26.92768669,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,"Temperate Grasslands, Savannas & Shrublands"
34,1,23.27973747,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Tropical & Subtropical Moist Broadleaf Forests
35,5,9.645066261,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Temperate Conifer Forests
36,3,16.35948372,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Tropical & Subtropical Coniferous Forests
37,99,3.715406179,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Rock & Ice
38,6,2.543668747,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Boreal Forests/Taiga
39,10,17.44070053,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Montane Grasslands & Shrublands
40,98,0.875449061,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Lakes
41,9,23.64060974,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Flooded Grasslands & Savannas
42,12,49.63863373,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,"Mediterranean Forests, Woodlands & Scrub"
43,2,46.37385559,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Tropical & Subtropical Dry Broadleaf Forests
44,4,55.93334961,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Temperate Broadleaf & Mixed Forests
45,11,2.94689703,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Tundra
46,7,11.49364853,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
47,14,28.85046196,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Mangroves
48,13,15.86266518,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c,1992,Deserts & Xeric Shrublands
49,8,27.23289871,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,"Temperate Grasslands, Savannas & Shrublands"
50,1,24.23285866,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Tropical & Subtropical Moist Broadleaf Forests
51,5,9.882680893,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Temperate Conifer Forests
52,3,17.31200027,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Tropical & Subtropical Coniferous Forests
53,99,3.693593264,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Rock & Ice
54,6,2.563515186,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Boreal Forests/Taiga
55,10,17.89584541,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Montane Grasslands & Shrublands
56,98,0.912019551,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Lakes
57,9,24.16001511,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Flooded Grasslands & Savannas
58,12,50.89760971,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,"Mediterranean Forests, Woodlands & Scrub"
59,2,46.71991348,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Tropical & Subtropical Dry Broadleaf Forests
60,4,56.12971878,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Temperate Broadleaf & Mixed Forests
61,11,2.949342012,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Tundra
62,7,11.63679981,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
63,14,28.679739,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Mangroves
64,13,16.24525833,global_n_export_tnc_esa2020_compressed_md5_1d3c17,Nitrogen Export,#2c944c,2020,Deserts & Xeric Shrublands
65,8,13.23884296,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,"Temperate Grasslands, Savannas & Shrublands"
66,1,102.9148941,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Tropical & Subtropical Moist Broadleaf Forests
67,5,61.63602829,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Temperate Conifer Forests
68,3,146.8879852,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Tropical & Subtropical Coniferous Forests
69,99,592.7810059,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Rock & Ice
70,6,1.996866822,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Boreal Forests/Taiga
71,10,221.8933411,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Montane Grasslands & Shrublands
72,98,5.713199615,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Lakes
73,9,1.803579688,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Flooded Grasslands & Savannas
74,12,54.85284424,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,"Mediterranean Forests, Woodlands & Scrub"
75,2,88.88583374,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Tropical & Subtropical Dry Broadleaf Forests
76,4,37.60266495,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Temperate Broadleaf & Mixed Forests
77,11,73.2703476,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Tundra
78,7,21.58576393,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
79,14,6.396123886,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Mangroves
80,13,28.95415115,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b,1992,Deserts & Xeric Shrublands
81,8,13.17196465,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,"Temperate Grasslands, Savannas & Shrublands"
82,1,108.0600586,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Tropical & Subtropical Moist Broadleaf Forests
83,5,62.37891006,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Temperate Conifer Forests
84,3,150.7368469,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Tropical & Subtropical Coniferous Forests
85,99,602.2258301,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Rock & Ice
86,6,2.212901354,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Boreal Forests/Taiga
87,10,218.5706329,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Montane Grasslands & Shrublands
88,98,6.049823284,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Lakes
89,9,1.73366034,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Flooded Grasslands & Savannas
90,12,53.62404633,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,"Mediterranean Forests, Woodlands & Scrub"
91,2,89.92903137,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Tropical & Subtropical Dry Broadleaf Forests
92,4,38.76699066,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Temperate Broadleaf & Mixed Forests
93,11,75.52498627,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Tundra
94,7,21.83012199,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
95,14,6.200888157,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Mangroves
96,13,26.93687057,global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0,Sediment Export,#08306b,2020,Deserts & Xeric Shrublands
97,8,39720.03125,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,"Temperate Grasslands, Savannas & Shrublands"
98,1,97758.71875,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Tropical & Subtropical Moist Broadleaf Forests
99,5,101360.4609,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Temperate Conifer Forests
100,3,123711.4609,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Tropical & Subtropical Coniferous Forests
101,99,17.11867523,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Rock & Ice
102,6,15841.32617,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Boreal Forests/Taiga
103,10,34190.05859,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Montane Grasslands & Shrublands
104,98,37221.66016,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Lakes
105,9,19433.58789,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Flooded Grasslands & Savannas
106,12,271641.0938,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,"Mediterranean Forests, Woodlands & Scrub"
107,2,77089.46094,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Tropical & Subtropical Dry Broadleaf Forests
108,4,322251.5,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Temperate Broadleaf & Mixed Forests
109,11,1083.268188,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Tundra
110,7,24255.75,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
111,14,141940.4219,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Mangroves
112,13,31161.30273,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00,2020,Deserts & Xeric Shrublands
113,8,17399.70898,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,"Temperate Grasslands, Savannas & Shrublands"
114,1,35863.46484,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Tropical & Subtropical Moist Broadleaf Forests
115,5,52904.08984,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Temperate Conifer Forests
116,3,102951.3984,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Tropical & Subtropical Coniferous Forests
117,99,0.131134734,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Rock & Ice
118,6,3318.975586,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Boreal Forests/Taiga
119,10,19567.0332,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Montane Grasslands & Shrublands
120,98,1728.796509,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Lakes
121,9,15733.0127,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Flooded Grasslands & Savannas
122,12,100119.8594,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,"Mediterranean Forests, Woodlands & Scrub"
123,2,25549.69141,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Tropical & Subtropical Dry Broadleaf Forests
124,4,159722.7813,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Temperate Broadleaf & Mixed Forests
125,11,53.18401337,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Tundra
126,7,13563.68457,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
127,14,70768.34375,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Mangroves
128,13,7475.574219,nature_access_lspop2019_marESA1992_md5_b32b8b,Nature Access,#A57C00,1992,Deserts & Xeric Shrublands
129,8,0.228094965,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,"Temperate Grasslands, Savannas & Shrublands"
130,1,0.396566927,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Tropical & Subtropical Moist Broadleaf Forests
131,5,0.12312258,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Temperate Conifer Forests
132,3,0.252884984,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Tropical & Subtropical Coniferous Forests
133,99,6.02E-07,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Rock & Ice
134,6,0.008205744,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Boreal Forests/Taiga
135,10,0.046738446,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Montane Grasslands & Shrublands
136,98,0.001162549,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Lakes
137,9,0.123786233,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Flooded Grasslands & Savannas
138,12,0.783810079,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,"Mediterranean Forests, Woodlands & Scrub"
139,2,0.419267386,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Tropical & Subtropical Dry Broadleaf Forests
140,4,0.75314641,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Temperate Broadleaf & Mixed Forests
141,11,9.53E-06,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Tundra
142,7,0.062858269,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
143,14,0.153485313,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Mangroves
144,13,0.046032913,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77,1992,Deserts & Xeric Shrublands
145,8,0.245284617,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,"Temperate Grasslands, Savannas & Shrublands"
146,1,0.410180748,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Tropical & Subtropical Moist Broadleaf Forests
147,5,0.132321179,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Temperate Conifer Forests
148,3,0.278478503,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Tropical & Subtropical Coniferous Forests
149,99,6.05E-07,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Rock & Ice
150,6,0.008390537,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Boreal Forests/Taiga
151,10,0.049122222,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Montane Grasslands & Shrublands
152,98,0.001108718,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Lakes
153,9,0.169136867,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Flooded Grasslands & Savannas
154,12,0.845461309,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,"Mediterranean Forests, Woodlands & Scrub"
155,2,0.431915462,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Tropical & Subtropical Dry Broadleaf Forests
156,4,0.818536103,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Temperate Broadleaf & Mixed Forests
157,11,9.21E-06,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Tundra
158,7,0.066092595,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
159,14,0.171492755,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Mangroves
160,13,0.052433897,realized_polllination_on_ag_ESA2020mar_md5_da610a,Pollination,#dd1c77,2020,Deserts & Xeric Shrublands
