country,combined_total,hydrological,travel_footprint,Local Residents,Connected Beneficiaries,multiplier
Gabon,2050541.2503836527,1970027.4473717727,2024308.3604002115,935186.2676370897,2050541.2503836527,2.192655432767101
Slovenia,2055542.6967786103,2026807.1869551255,2031735.48066164,1229287.9416837217,2055542.6967786103,1.6721409419856428
Macedonia,2097168.6881827833,1906512.031778554,2088223.553081178,446701.67267104966,2097168.6881827833,4.6947858413933785
Lesotho,2149991.8855982586,1867407.693258889,2140853.3828489613,1044916.2160566632,2149991.8855982586,2.057573471021403
Gambia,2190983.081839356,2136004.1198934442,2162027.422286713,1175695.1815587305,2190983.081839356,1.8635638864612527
Namibia,2266578.0001284704,1960664.8753230541,2122350.5890145316,861398.99587872345,2266578.0001284704,2.631275414729625
Kuwait,2495919.735151667,2338187.170500222,2494097.7351505123,2405129.9136356637,2495919.735151667,1.0377484064379554
Jamaica,2560476.7970409677,2552541.579712337,2553648.170508975,1848035.8270125662,2560476.7970409677,1.3855125315292696
Moldova,2595088.6502739135,1049688.7835133004,2553725.3518498405,155554.4029955285,2595088.6502739135,16.682836360141543
Lithuania,2663972.621661987,1716035.434259646,2662887.8855263814,268055.27942636,2663972.621661987,9.938146442640136
Puerto Rico,2777742.3817180423,1809556.5827629291,2777326.38171837,1015286.7609054223,2777742.3817180423,2.7359190414744305
Mongolia,2895213.0516260494,2470615.936985369,2720953.0383252413,1474952.012370767,2895213.0516260494,1.962920167804255
Armenia,2933140.0806748727,2819158.221306967,2918468.1343422476,677593.2422251776,2933140.0806748727,4.328762298517925
Albania,2937413.9575270433,2209225.8636167226,2917797.2975996695,556745.1311621681,2937413.9575270433,5.276047859449419
Oman,3070256.639995913,2546143.0059105614,3058043.1101704715,1948083.0295586586,3070256.639995913,1.5760399292074756
Uruguay,3147855.882361138,2047661.635968439,3129500.7546468303,500598.0011793809,3147855.882361138,6.2881910733661845
Bosnia and Herzegovina,3742698.5085834963,3521201.573774416,3723081.3838794483,1939048.757685567,3742698.5085834963,1.9301724589178206
Mauritania,3861175.074703185,3732660.3309878786,3237676.5652453895,1604021.5275084565,3861175.074703185,2.4071840735833443
Croatia,3952263.640231807,3641316.7805795325,3930711.8652252126,1782017.8735663795,3952263.640231807,2.2178585854035693
Panama,4000345.5604969794,3408795.2608813387,3921850.983754604,1568117.6721796948,4000345.5604969794,2.5510493450000284
Lebanon,4089864.8251350503,3645297.861144642,4080014.8097693953,1439400.455083252,4089864.8251350503,2.8413669112661917
Liberia,4460287.145763054,4025764.393262173,4309071.379592336,3151984.2343846173,4460287.145763054,1.4150727967184344
Norway,4549874.368104631,3386393.8711170596,4544321.782559606,1717463.8674793874,4549874.368104631,2.6491820027528106
Georgia,4653935.936124239,4211075.502385536,4644442.375919159,1212680.6624866787,4653935.936124239,3.83772585816702
Central African Republic,4743118.122022899,4136091.928698571,4474309.25350188,1645781.1226171365,4743118.122022899,2.881985980298734
New Zealand,4844281.60304127,3191619.816281213,4840318.83753518,1388948.8274574424,4844281.60304127,3.4877322384216485
Ireland,4868459.434754298,2396329.4166733506,4868395.434753911,1298872.8140762227,4868459.434754298,3.7482187493598573
Finland,4941560.345225938,3760924.0324853263,4938737.450428139,919116.6299913656,4941560.345225938,5.376423604991632
Eritrea,4985649.087420069,2327162.4399544457,4444833.368862602,330104.22963223833,4985649.087420069,15.103257213560903
Costa Rica,5042588.447263796,4595677.2715738,5018537.352983041,2392309.767622874,5042588.447263796,2.1078325706433825
Denmark,5241223.178201049,3724433.440484866,5241221.178201049,1185739.549072408,5241223.178201049,4.4202145254421215
Singapore,5413262.641063478,5410028.567996282,5413262.641063478,5573353.496720043,5413262.641063478,0.9712756680962764
Republic of the Congo,5445872.948364448,5093860.822610857,5111366.814968663,4309361.447545669,5445872.948364448,1.2637308368426745
Fiji,5493127.527840495,5096238.805937022,5170434.925788581,0,5493127.527840495,5493127.527840495
Slovakia,5619944.5797417,5138082.473071752,5618218.3171921205,756640.1669674374,5619944.5797417,7.4274996558351605
Turkmenistan,5654587.49175039,5460687.277157959,5555340.86893457,2842933.4101083614,5654587.49175039,1.988997516313567
El Salvador,5797233.281687267,839083.7395596672,5777624.796220835,102895.02291838874,5797233.281687267,56.3412409780534
Nicaragua,6156157.984491479,4151821.789086236,5999022.682305972,1853325.0902537436,6156157.984491479,3.3216827511079683
Kyrgyzstan,6318397.36368577,6138780.305983238,6190346.960218332,2946931.9531926042,6318397.36368577,2.1440594706778473
Bulgaria,6346515.847108994,4867945.656139633,6326128.323531769,1188453.0642025159,6346515.847108994,5.340148499148073
Libya,6422536.918276883,5927853.9916277025,6368684.586807294,3991152.3634887747,6422536.918276883,1.6091936196248766
Paraguay,7355351.743972725,6309740.182599029,7244567.031761618,2174236.3695240016,7355351.743972725,3.382958654850856
United Arab Emirates,7455538.642610328,7400276.069401063,7452446.481353436,5328975.323441115,7455538.642610328,1.3990567022922547
Laos,7551005.147890821,7100672.61431969,6889956.7923514135,2629406.2154163932,7551005.147890821,2.8717529849966685
Hong Kong S.A.R.,7762046.200403337,7010314.394974356,7762046.200403337,3670976.21724849,7762046.200403337,2.114436526156857
Somalia,7977419.411999201,6314846.654830059,7454747.791535074,5021743.476592606,7977419.411999201,1.5885756509036388
Papua New Guinea,8083223.820546333,7624036.151351532,6731292.862405554,4052751.8159851613,8083223.820546333,1.9945025472973419
Sierra Leone,8383809.888573892,7381686.150109025,8254461.644378063,3933326.7011696342,8383809.888573892,2.1314806842972995
Honduras,8488204.253426906,7039244.830600047,8326985.750635118,2159078.581633299,8488204.253426906,3.9314012586821883
Togo,8505038.271590091,6742342.646893262,8407851.466096457,3745312.90642724,8505038.271590091,2.2708485202918034
Switzerland,8607568.358523544,8224066.093901525,8605050.829263762,2456044.454319849,8607568.358523544,3.504646808564071
Republic of Serbia,8619417.1917769555,7731316.885580294,8469615.638340976,2107960.2456090786,8619417.1917769555,4.0889846996552075
Greece,8841954.983797576,7683240.991717178,8835579.567442311,1766253.9277021189,8841954.983797576,5.006049722024332
Austria,9111644.344805649,8524477.514066048,9110957.27111259,4000361.180005939,9111644.344805649,2.2777054207870604
Sweden,9199215.328312725,7612846.900158809,9198529.328313947,4429391.961229301,9199215.328312725,2.076857367519952
Portugal,9269885.82111231,8209801.645414645,9269495.499442702,6024682.796476328,9269885.82111231,1.5386512675047412
Belarus,9484616.876019487,6828274.683149479,9477638.635812368,3896306.816347596,9484616.876019487,2.434258215042311
Hungary,9710341.202968966,8952179.133730581,9687193.384849353,1034083.9261864764,9710341.202968966,9.390283474165424
Tajikistan,9872198.13715588,9243172.443394639,9583360.05208419,3735400.0763127482,9872198.13715588,2.642875712231828
Cuba,9921578.296942025,6653660.224962442,9903748.671085363,2371498.459479734,9921578.296942025,4.183674780509303
Dominican Republic,9970659.286329078,8193620.496449032,9862851.85025072,4921415.957819423,9970659.286329078,2.0259736977702794
Haiti,10222352.198699076,8788796.970675483,9966067.316213142,2906089.3935604743,10222352.198699076,3.5175628875527756
Azerbaijan,10324478.860632557,9692753.537749186,10160065.334109748,4175893.1508679567,10324478.860632557,2.472400151925971
Tunisia,10725817.099551765,8727658.632716483,10719839.960593801,4203499.203362305,10725817.099551765,2.55164009332329
Czechia,10785934.43757293,8121193.041135617,10785864.437573913,1144677.6671511899,10785934.43757293,9.422682687971335
Jordan,10920860.74616263,10186097.160593448,10907152.71469161,4453039.760429129,10920860.74616263,2.452450760311696
South Sudan,11274795.45253084,10621405.92335171,10651062.68247571,3160534.303350923,11274795.45253084,3.5673700616306734
Bolivia,11698565.848019727,10862784.047669297,11337301.781239145,6937346.98923574,11698565.848019727,1.6863169546184846
Belgium,11940294.312330553,6982830.551137833,11940294.312330553,2890035.896724126,11940294.312330553,4.131538409562647
Guinea,13061715.009727687,9996126.098337263,12893970.969665974,3824378.7699693614,13061715.009727687,3.4153821562586306
Burundi,13105219.627155714,6351895.772955933,13070485.260521073,3816534.5794120715,13105219.627155714,3.43380083540984
Benin,13395133.556959843,10108639.102206295,13208190.863219911,4808446.93594286,13395133.556959843,2.785750520990884
Rwanda,13477233.523743289,10965667.438583426,13424976.711722037,3268549.8706271965,13477233.523743289,4.123306682531102
Israel,13869370.736585945,9809419.399845894,13847420.101638092,3462044.637555601,13869370.736585945,4.006121292063555
Senegal,14802052.751612838,7509395.7331393575,14113213.793582361,2627997.522612211,14802052.751612838,5.632445473882982
Zimbabwe,14867206.735841209,13657574.283907324,12994228.931129515,6177960.84713997,14867206.735841209,2.406490928592376
Cambodia,16684718.765337005,15349433.13528274,16540332.758603767,7123897.058283944,16684718.765337005,2.342077465301856
Chad,16928894.330936484,15477613.045836829,15191890.399713485,7012670.5535608595,16928894.330936484,2.414043865548541
Ecuador,17054309.538083952,14025304.14891583,16511244.638762433,6532186.074511808,17054309.538083952,2.6108119615007337
Guatemala,17140851.900396314,13226012.533260155,16763087.107194113,5653798.262723354,17140851.900396314,3.0317409825903145
Netherlands,17364679.220546387,9981051.509529604,17364679.220546387,3736610.959012704,17364679.220546387,4.647173444338054
Chile,17751884.438890353,16552795.181836804,17670417.25974416,9436824.413966889,17751884.438890353,1.8811290387703763
Romania,17982440.9584109,14478443.126343248,17817642.728828214,2073724.8979856295,17982440.9584109,8.671565344023524
Zambia,18766504.210039735,17294845.504114505,17831218.87884214,9924228.431327065,18766504.210039735,1.8909786629659715
Burkina Faso,18941257.810146905,13828427.705919044,17969321.683169715,7930586.800202804,18941257.810146905,2.388380366716689
Kazakhstan,19719570.445260137,18383717.077144425,19424184.228677023,9914148.712140417,19719570.445260137,1.9890331502807141
Sri Lanka,19737030.960464746,15155924.601383828,19664270.142709762,4467354.452433218,19737030.960464746,4.418057973822661
Mali,20017204.283180274,17692711.142293412,19066368.47202775,9981368.026533753,20017204.283180274,2.005456990461425
Niger,20661625.7770317,18899126.89706078,16663285.519686693,6055997.960535879,20661625.7770317,3.411762340686688
Malawi,21007542.223430544,20718435.42374792,20928008.00293532,15532623.834354592,21007542.223430544,1.3524786570165106
Madagascar,21489796.890350886,19420152.663107377,18210063.33234624,6753418.452358406,21489796.890350886,3.182062098172858
Syria,22342061.903222907,19330906.169391632,22272591.76338109,10267624.458399832,22342061.903222907,2.175971861236618
Taiwan,22882383.170198508,21698128.159667257,22881238.123525493,7191427.057298587,22882383.170198508,3.1818974158926014
Yemen,24027856.476928778,20987163.84688732,19672488.363235,11069007.28728867,24027856.476928778,2.1707327363061437
North Korea,24720098.604468934,24185532.517525766,24629742.653459307,16869699.664477743,24720098.604468934,1.4653549912641095
Australia,24974406.044490825,22053725.310383797,24964651.044493962,14164688.151323294,24974406.044490825,1.7631454909339226
Ivory Coast,25977201.825476598,19791403.4652749,25327482.045804758,10753463.406145992,25977201.825476598,2.415705605194108
Venezuela,26956632.933608625,26439284.9696913,22800774.900256056,12618899.242905125,26956632.933608625,2.1362111238636583
Cameroon,28899255.392319005,23457041.455528732,28129991.893322676,12497891.276499573,28899255.392319005,2.312330516641616
Nepal,29246695.347905017,26183549.73230766,27901707.49537963,9954962.468992952,29246695.347905017,2.9379011160514827
Ukraine,29625802.643706664,22469353.330493763,29060633.13111211,8929830.103405902,29625802.643706664,3.3176222056461264
Peru,30308722.006543107,28301377.217697408,29297444.5974732,17969182.626146547,30308722.006543107,1.6867056580771558
Mozambique,30407458.65483184,26969535.290307526,29244952.861630842,15737230.695240919,30407458.65483184,1.9321988247924289
Ghana,31374792.294811152,25520258.630868014,31134206.662097827,10991754.717304802,31374792.294811152,2.8543934159499065
Malaysia,31979332.754517175,30278713.38673985,31840458.24239894,16190071.071960563,31979332.754517175,1.9752435064909561
Morocco,33388739.509663835,27811096.310029972,33220902.642926972,13513049.200946383,33388739.509663835,2.470851620027067
Angola,33545830.868663955,30753112.64006322,31891813.556728866,19896989.651080616,33545830.868663955,1.6859751880527345
Saudi Arabia,33972793.34209073,32719111.76025113,33378629.957652763,28808142.48576265,33972793.34209073,1.1792774684754674
Afghanistan,35271103.39956296,30064305.3978548,34114609.47738415,11417491.29862272,35271103.39956296,3.089216578060163
Uzbekistan,35669348.038222104,33917349.37207196,35446772.13131624,19411967.51066051,35669348.038222104,1.8374926713963176
Canada,37036373.71802394,33756973.98595226,36995860.44285842,15457805.099798031,37036373.71802394,2.3959658877124705
Poland,37873886.557747535,24073622.61989244,37856440.7663008,6572429.927658961,37873886.557747535,5.762539422194778
Iraq,41190563.03877257,39374800.70829363,40981385.96687271,22664993.88430427,41190563.03877257,1.8173648424100144
Spain,42324690.35333486,34935726.35964043,42316595.29178416,20039705.48132829,42324690.35333486,2.1120415363773826
Sudan,43041489.404679865,40151392.90938331,36820597.86454312,17639541.299381502,43041489.404679865,2.4400571802957844
Argentina,43108609.45636778,38025898.926918335,42536728.823559836,18461422.568572596,43108609.45636778,2.335064337336213
Algeria,43391328.74316355,33571377.77418171,43136057.59771396,14909783.01902691,43391328.74316355,2.9102589010041466
Uganda,44279550.682775915,29974852.1833741,43174501.179315634,9817952.58289498,44279550.682775915,4.510059537252254
Colombia,46489606.656287275,40125844.80867662,44445311.577635415,14253031.683263784,46489606.656287275,3.2617346042159134
South Korea,49907788.474210605,48716051.80722978,49907030.69223423,33191899.692724064,49907788.474210605,1.5036135001682593
Kenya,52258383.05761746,36455082.45135972,50999257.06115358,12709304.23822765,52258383.05761746,4.111820920962157
Myanmar,53751518.71261293,44939072.115630195,51180988.845336415,13887216.513140881,53751518.71261293,3.8705754073719634
United Republic of Tanzania,54449854.073750824,41952609.89495007,51624971.0984003,21629281.722483642,54449854.073750824,2.517413882364396
Italy,57288107.63907678,47319387.74429339,57284903.60057709,12817111.57147431,57288107.63907678,4.4696581846550245
South Africa,57949856.21902228,51538468.27588228,57891035.56279301,32751865.467344347,57949856.21902228,1.7693604743461682
France,63887661.3790291,44009987.14266595,63872138.25265465,12888008.485076893,63887661.3790291,4.957139922200162
United Kingdom,64328674.76532947,39353344.57045234,64326920.61774113,14963653.130278384,64328674.76532947,4.298995319208706
Thailand,68438051.11626819,54659530.11718783,68162873.32669266,23457840.315299015,68438051.11626819,2.9174915591710904
Turkey,77096126.74743584,65609480.015969075,76504555.80716442,30343639.224138018,77096126.74743584,2.5407673146241057
Germany,83932386.86563465,63195524.26322889,83932346.86563453,14608843.83024807,83932386.86563465,5.745313444439046
Iran,85686619.01290374,82563118.05862254,84912222.42839642,54269061.79805465,85686619.01290374,1.5789220630303082
Ethiopia,94413425.65638544,66486501.61506711,87787394.32354516,21632172.644425556,94413425.65638544,4.364491131255605
Vietnam,101698827.47877477,89184274.21478096,101100609.15378757,36790292.60082684,101698827.47877477,2.7642842796115503
Philippines,103314917.05620065,90552557.82484816,102458796.72908977,39366154.70775677,103314917.05620065,2.6244604743130604
Democratic Republic of the Congo,105089519.63059172,94108311.45891333,100037016.14640914,43693556.61774508,105089519.63059172,2.405149128737031
Egypt,107657820.95520182,104286117.63548505,107641287.38879734,58706606.6471426,107657820.95520182,1.8338280323760088
Japan,116215867.2189145,109203769.70037287,116210924.09220035,46166745.09542341,116215867.2189145,2.517306926851882
Mexico,125439743.06345393,117392736.67291372,124604764.70485695,67787672.25762194,125439743.06345393,1.8504801667584871
Russia,131588728.80711241,106709727.2720466,130808502.53273982,37497613.17175547,131588728.80711241,3.509256127966825
Bangladesh,162070315.37484467,139778484.87197378,158530318.05572194,54309764.02532966,162070315.37484467,2.984183751917175
Brazil,185018046.16250977,144240230.70984086,183474265.46231973,67262902.42323229,185018046.16250977,2.75066997552882
Nigeria,221920927.74815243,168697124.79388136,219188812.8362309,76547582.01626077,221920927.74815243,2.8991239422952697
Pakistan,236956893.17181215,197170681.44524792,230558035.67001042,81608026.96545587,236956893.17181215,2.903597868774776
Indonesia,264139478.53322655,235293665.4632676,262473913.56266204,118284077.10697126,264139478.53322655,2.2330941323095383
United States of America,330103206.0098841,288621706.1694081,330020957.17073685,134508896.3261244,330103206.0098841,2.454136603794074
India,1273870694.455588,981178688.850534,1227323668.0224695,354712188.73478985,1273870694.455588,3.5912797330120276
China,1344263673.5121992,1242623075.0691142,1290715884.7046263,744778322.8304632,1344263673.5121992,1.804917828976877
